what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1344518205839
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1344518206059
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1344518210785
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1344518214327
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1344518214342
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1344518214389
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1344518214389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518217103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518254497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1344518254513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518265651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518295322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1344518295338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518360578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518469414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1344518469445
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1344518472658
executed,command,,,"AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1344518473220
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344518479210
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1344518479210
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1344518489475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518503016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518527310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518566872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518588837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1344518588868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518602278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518625959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1344518625990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518632121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518709184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1344518709231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1344518714535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518720853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518722662
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1344518722662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518751303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518755078
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1344518755109
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1344518758230
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1344518758261
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344518777437
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1344518777437
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1344518779599
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1344518779819
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1344518783937
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1344518802563
opened,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1344518802922
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1344518812563
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1344518820208
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1344518826823
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1344518834608
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1344518842347
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1344518850381
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1344518857886
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1344518864922
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1344518872848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518887138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518942339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1344518942354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518942666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518942869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1344518949218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518954116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344518956066
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1344518956066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519015267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519042209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1344519042240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519047403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519049494
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1344519049494
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344519057216
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344519060305
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344519060305
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1344519067247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519070289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519070507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519070694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519077901
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1344519082207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1344519083783
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1344519088447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519107791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519111473
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1344519148694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1344519152469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519156588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519158351
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1344519158366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519190611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344519198989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344519198989
